Microsoft (R) COFF/PE Dumper Version 14.00.24215.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file gdiplus.dll

File Type: DLL

  Section contains the following exports for gdiplus.dll

    00000000 characteristics
    403E3D73 time date stamp Fri Feb 27 02:39:47 2004
        0.00 version
           1 ordinal base
         609 number of functions
         609 number of names

    ordinal hint RVA      name

        487  1E6 00019E8A GdipSetAdjustableArrowCapMiddleInset
        488  1E7 0009CDA7 GdipSetAdjustableArrowCapWidth
        489  1E8 000A2335 GdipSetClipGraphics
        490  1E9 000A2577 GdipSetClipHrgn
        491  1EA 000A2452 GdipSetClipPath
        492  1EB 0005F6A7 GdipSetClipRect
        493  1EC 0005F738 GdipSetClipRectI
        494  1ED 0005FF1E GdipSetClipRegion
        495  1EE 000280C7 GdipSetCompositingMode
        496  1EF 0002C19B GdipSetCompositingQuality
        497  1F0 0009C9C2 GdipSetCustomLineCapBaseCap
        498  1F1 00017990 GdipSetCustomLineCapBaseInset
        499  1F2 00018500 GdipSetCustomLineCapStrokeCaps
        500  1F3 0001922B GdipSetCustomLineCapStrokeJoin
        501  1F4 0009CB73 GdipSetCustomLineCapWidthScale
        502  1F5 00098AFE GdipSetEmpty
        503  1F6 0009EC9C GdipSetImageAttributesCachedBackground
        504  1F7 000404AA GdipSetImageAttributesColorKeys
        505  1F8 00019B27 GdipSetImageAttributesColorMatrix
        506  1F9 00019FBE GdipSetImageAttributesGamma
        507  1FA 0001A12D GdipSetImageAttributesNoOp
        508  1FB 0009EA83 GdipSetImageAttributesOutputChannel
        509  1FC 0009EB35 GdipSetImageAttributesOutputChannelColorProfile
        510  1FD 0009EBE7 GdipSetImageAttributesRemapTable
        511  1FE 0001A07D GdipSetImageAttributesThreshold
        512  1FF 0009E933 GdipSetImageAttributesToIdentity
        513  200 00019F13 GdipSetImageAttributesWrapMode
        514  201 0009DFA5 GdipSetImagePalette
        515  202 0002A71B GdipSetInfinite
        516  203 00006269 GdipSetInterpolationMode
        517  204 000114A8 GdipSetLineBlend
        518  205 0009A4C5 GdipSetLineColors
        519  206 00015494 GdipSetLineGammaCorrection
        520  207 0009B23D GdipSetLineLinearBlend
